PV;WT;MT;Grid;PV Pmax;WT Pmax;Pload;Shift ;NonShift
0;0.021;0.0823;0.033;0;64.04;52;5;47
0;0.017;0.0823;0.027;0;64.32;50;10;40
0;0.0125;0.0831;0.020;0;64.64;50;5;45
0;0.011;0.0831;0.017;0;64.68;51;2;49
0;0.051;0.0838;0.017;0;70.72;56;10;46
0;0.085;0.0838;0.029;0;64.68;63;8;55
0;0.091;0.0846;0.033;0;58.92;70;10;60
0.0646;0.110;0.0854;0.054;0.4;58.24;75;12;63
0.0654;0.140;0.0862;0.215;2.36;58.6;76;15;61
0.0662;0.143;0.0862;0.572;7.92;52.64;80;20;60
0.0669;0.150;0.0892;0.572;31;46.68;78;25;53
0.0677;0.155;0.09;0.572;39.2;40.6;74;25;49
0.0662;0.137;0.0885;0.215;42.6;46.68;72;20;52
0.0654;0.135;0.0885;0.572;38.8;40.6;72;10;62
0.0646;0.132;0.0885;0.286;32.48;59;76;15;61
0.0638;0.114;0.09;0.279;19.8;64.84;80;15;65
0.0654;0.110;0.0908;0.086;4.4;64.6;85;25;60
0.0662;0.0925;0.0915;0.059;0.4;76.52;88;23;65
0;0.091;0.0908;0.050;0;70.12;90;10;80
0;0.083;0.0885;0.061;0;75.8;87;15;72
0;0.033;0.0862;0.181;0;76.16;78;10;68
0;0.025;0.0846;0.077;0;76.44;71;8;63
0;0.021;0.0838;0.043;0;79.72;65;5;60
0;0.017;0.0831;0.037;0;76.6;56;8;48
